country,country_code,gdp_2016,u5_2016,le_2016,gdp_2018,u5_2018,le_2018
Afghanistan,AFG,547.2281102,67.5,63.763,520.8966027,62.3,
Albania,ALB,4124.108907,9.3,78.194,5268.848504,8.8,
Algeria,DZA,3946.421445,24.5,76.298,4114.715061,23.5,
American Samoa,ASM,11696.95556,,,11466.69071,,
Andorra,AND,37224.10892,3.1,,42029.76274,2.9,
Angola,AGO,3506.072885,84,59.925,3432.385736,77.2,
Antigua and Barbuda,ATG,15197.61746,7,76.617,16726.98081,6.4,
Argentina,ARG,12790.24247,10.9,76.221,11683.94962,9.9,
Armenia,ARM,3591.829276,13.7,74.64,4212.070943,12.4,
Aruba,ABW,25239.60041,,75.868,,,
Australia,AUS,49971.13146,3.8,82.44878049,57373.68668,3.7,
Austria,AUT,45237.80509,3.6,81.64146341,51461.95478,3.5,
Azerbaijan,AZE,3880.738731,24.5,72.493,4721.178087,21.5,
"Bahamas, The",BHS,31588.835,10.9,73.329,32217.87159,10.2,
Bahrain,BHR,22619.11667,7.4,76.899,24050.75751,7.1,
Bangladesh,BGD,1401.620628,33.9,71.785,1698.262802,30.2,
Barbados,BRB,16936.90604,12.9,78.888,17949.28151,12.2,
Belarus,BLR,5022.626643,3.8,73.82682927,6289.938553,3.4,
Belgium,BEL,42012.0999,3.9,81.43902439,47518.63604,3.7,
Belize,BLZ,4818.404394,14.5,74.219,4884.742421,13,
Benin,BEN,789.0849152,97.6,60.885,901.5438712,93,
Bermuda,BMU,,,81.22707317,,,
Bhutan,BTN,3012.961401,32,70.781,3360.266867,29.7,
Bolivia,BOL,3076.658949,29.3,70.626,3548.59014,26.8,
Bosnia and Herzegovina,BIH,4994.68314,6,76.998,6065.672708,5.8,
Botswana,BWA,7243.852997,39.4,68.178,8258.641666,36.5,
Brazil,BRA,8712.887044,16.3,75.23,8920.762105,14.4,
British Virgin Islands,VGB,,,,,,
Brunei Darussalam,BRN,27157.82341,11.1,75.45,31628.32879,11.6,
Bulgaria,BGR,7469.455638,7.7,74.81219512,9272.629304,7.1,
Burkina Faso,BFA,582.7954443,83,60.354,715.122904,76.4,
Burundi,BDI,282.1931304,63.8,60.528,271.7520444,58.5,
Cabo Verde,CPV,3130.982229,20.8,72.347,3635.40685,19.5,
Cambodia,KHM,1278.631062,30.5,68.977,1510.324871,28,
Cameroon,CMR,1363.403851,82.3,58.063,1533.74214,76.1,
Canada,CAN,42279.90082,5.2,82.1422439,46232.98962,5,
Cayman Islands,CYM,78296.09993,,,,,
Central African Republic,CAF,401.9182384,123.9,51.593,475.7212505,116.5,
Chad,TCD,692.9785958,126.6,53.438,728.3432354,119,
